,0
0,20000000.0
1,27682525.15074753
2,28276966.686521262
3,31302131.366905335
4,32989639.61764857
5,33702025.7859442
6,39329358.31929521
7,40110100.85622828
8,41055016.861619435
9,43073501.735426724
10,48022256.33758947
11,48398318.26501887
12,42604728.304668784
13,47380729.196721956
14,54743703.364359505
15,48451393.90158081
16,54851499.030651644
17,40757744.02705903
18,51633557.03964816
19,59358026.09844592
20,70877104.48239866
21,74865543.43790399
22,112386452.82948908
23,111316073.22608325
24,123680020.83672918
25,127088609.18597955
26,109773719.31576534
27,103386417.67440867
28,106319912.67205498
29,139391399.7102158
