,0,1,2,3,4,5,6,7,8,9
0,001040,010060,025530,001230,005380,017890,004370,000990,005710,009970
1,001040,010060,025530,001230,005380,017890,004370,000990,005710,009970
2,001040,001230,005380,017890,005710,009970,012630,005930,003410,034020
3,001040,005710,009970,005930,000990,002170,005990,033920,001630,005850
4,001040,005710,009970,005930,000990,002170,004370,003410,024120,010060
5,001040,009970,005930,000990,002170,001630,003550,009410,005850,012630
6,001040,009970,005930,009410,005990,025530,005420,005710,011760,024120
7,001040,005930,005990,005710,024120,004970,001630,013580,002170,012630
8,001040,005930,005990,024120,001630,013580,002170,000990,009970,003410
9,001040,005930,024120,001630,013580,009970,009410,006360,003550,012630
10,001040,005930,013580,009970,009410,006360,012630,005990,005710,010060
11,001040,005930,013580,009970,009410,005990,003300,001630,002170,000990
12,001040,005930,013580,009970,009410,005990,003300,002170,000990,012630
13,013580,009970,005990,002170,001630,006360,033920,017890,011760,024120
14,013580,009970,005990,002170,001630,006360,001040,003300,034020,009410
15,013580,009970,005990,002170,001630,001040,025530,012630,000990,002390
16,013580,009970,005990,002170,001630,001040,012630,005710,006360,003300
17,013580,009970,005990,001630,001040,006360,009410,000990,004370,017890
18,013580,009970,005990,000990,033920,012630,003300,001230,002170,003160
19,013580,009970,005990,000990,003300,002170,009410,001040,001630,023810
20,013580,009970,005990,003300,002170,009410,001040,001630,017890,004370
21,013580,009970,005990,001040,011070,025530,012630,009450,003550,023810
22,013580,009970,005990,001040,012630,009450,005380,003300,010060,001230
23,013580,009970,005990,001040,010060,001230,011070,000990,005930,035000
24,013580,009970,005990,001040,010060,001230,011070,005710,005380,012630
25,009970,005990,001040,001230,003550,009450,023810,000990,011760,017890
26,009970,001040,001230,000990,011760,003300,004970,005710,005380,010060
27,009970,001040,001230,000990,011760,010060,011070,025530,009450,005990
28,009970,001040,001230,000990,011760,010060,011070,005930,001250,023810
29,009970,011760,010060,005850,033920,009450,005990,009410,005380,006360
