,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,000660,005380,009830,036460,006120,026960,005850,016380,007310,002620,001060,008060,017960,010690,012030,003920,003570,008350,007570,005390,000860,001250,012610,011300,006890,003720,009070,003650,004060,008870
1,000660,005380,009830,036460,006120,026960,005850,016380,007310,002620,001060,008060,017960,010690,012030,003920,003570,008350,007570,005390,000860,001250,012610,011300,006890,003720,009070,003650,004060,008870
2,000660,036460,006120,026960,005850,016380,007310,008060,017960,010690,012030,003920,003570,008350,007570,000860,001250,011300,006890,003720,009070,003650,004060,008870,000100,006280,001630,016800,004700,035150
3,006120,026960,007310,008060,017960,010690,003920,003570,008350,007570,000860,001250,006890,003720,009070,003650,004060,008870,000100,006280,001630,016800,035150,005380,005090,001520,007540,012610,014530,017040
4,006120,026960,007310,008060,010690,003920,003570,008350,000860,001250,006890,003720,009070,000100,006280,001630,016800,035150,005380,005090,012610,017040,011790,017800,000120,007860,007810,012030,033920,011700
5,006120,026960,007310,008060,010690,003570,000860,001250,003720,009070,000100,006280,001630,016800,035150,005380,005090,012610,017040,017800,007810,033920,002790,000640,018670,020560,003160,010100,009470,004540
6,006120,007310,010690,003570,000860,001250,003720,009070,000100,006280,001630,016800,005090,017040,033920,002790,018670,003160,010100,009470,004540,005490,021240,036460,016380,001120,029530,016580,002390,002600
7,007310,010690,003570,000860,001250,003720,009070,000100,001630,016800,033920,002790,018670,003160,010100,009470,005490,021240,036460,029530,002600,003550,011790,004800,003280,007810,003920,002310,011760,016880
8,010690,003570,000860,001250,003720,009070,000100,016800,033920,018670,003160,010100,009470,021240,036460,029530,003550,003280,007810,003920,002310,011760,016880,004370,005300,001060,010580,002390,007210,017040
9,010690,003720,009070,000100,016800,033920,018670,003160,010100,009470,036460,003280,007810,011760,016880,004370,005300,001060,002390,007210,011790,001040,006110,004800,006650,001680,026890,016580,004840,020120
10,010690,003720,000100,016800,033920,036460,003280,007810,011760,016880,004370,005300,001060,002390,007210,011790,001040,004800,001680,026890,016580,004840,020120,021240,018880,029460,001470,001390,024720,010580
11,010690,003720,000100,033920,036460,003280,007810,011760,016880,004370,005300,002390,007210,011790,001040,004800,026890,016580,004840,021240,018880,001470,024720,010580,005880,003920,002310,007540,000860,004360
12,010690,003720,000100,036460,003280,007810,011760,016880,004370,005300,002390,007210,011790,001040,004800,026890,016580,004840,021240,018880,001470,024720,010580,002310,004360,005490,011780,002790,012750,001520
13,003720,000100,036460,003280,007810,011760,004370,005300,002390,007210,011790,001040,004800,026890,004840,021240,018880,001470,024720,010580,002310,004360,005490,002790,012750,001520,006400,012330,005420,003030
14,003720,003280,007810,011760,004370,007210,011790,001040,004800,026890,021240,018880,024720,010580,002310,004360,005490,002790,012750,001520,006400,012330,003030,010950,006650,001390,003070,003160,036580,002600
15,003720,003280,007810,011760,004370,007210,001040,004800,026890,021240,018880,024720,010580,002310,004360,005490,012750,001520,003030,001390,003070,003160,002600,003550,000210,020120,014580,002390,010820,011300
16,003720,003280,011760,004370,007210,001040,004800,026890,021240,024720,010580,002310,004360,005490,012750,003030,003070,003160,003550,014580,002390,010820,002710,000670,003090,006650,003920,016580,000490,015230
17,011760,004370,007210,004800,024720,010580,004360,005490,012750,003030,003070,002390,010820,002710,003090,006650,000490,003410,011780,000210,004690,003580,000430,003060,015360,012170,002100,006490,000040,016880
18,004370,007210,004800,024720,004360,012750,003030,003070,010820,002710,003090,006650,003410,011780,003580,000430,003060,015360,002100,000040,004990,000670,001680,007570,015230,001360,035150,011280,004080,018500
19,004370,024720,012750,003070,002710,003090,006650,011780,003580,003060,002100,000040,004990,001680,001360,035150,011280,004080,018880,000210,001740,006280,003220,000490,010580,004250,004840,003160,009190,002460
20,024720,012750,003070,002710,003090,006650,011780,003060,002100,000040,004990,001680,001360,035150,004080,018880,000210,001740,003220,010580,004250,002460,004000,000670,004690,004430,007810,004360,010820,004140
21,024720,012750,002710,006650,011780,003060,002100,000040,004990,001680,001360,004080,001740,003220,010580,002460,004000,000670,004690,004430,010820,004140,006280,004800,002030,007690,001080,009190,002600,002450
22,012750,002710,006650,002100,004990,001680,001360,004080,001740,003220,010580,002460,004000,000670,004690,004430,010820,004140,001080,009190,002600,002450,011200,021240,018880,001230,029530,013570,002390,023810
23,002710,006650,002100,001680,001740,003220,002460,004000,000670,004690,004430,010820,004140,009190,002600,021240,029530,013570,002390,023810,003410,003230,007460,003000,002030,024720,016580,015360,033920,012800
24,002710,002100,001680,001740,003220,002460,004000,000670,004690,004430,004140,029530,013570,002390,023810,003410,003230,003000,002030,016580,015360,028050,018880,004990,007810,003070,024900,035150,009180,004920
25,002710,002100,001680,001740,004000,000670,004690,004430,004140,013570,002390,003410,003230,002030,016580,015360,004990,003070,024900,009180,004920,000270,011170,011780,004490,007690,024720,014790,001080,004080
26,002710,002100,001680,001740,000670,004430,004140,013570,002390,003410,003230,016580,015360,009180,004920,000270,011170,011780,007690,014790,001080,004080,018880,001230,029530,000490,015890,033920,004970,023810
