,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,005490,003490,009830,036460,006120,017800,007310,006280,006360,002620,007340,008060,002240,005090,010690,012030,016800,003920,001520,003570,004380,001250,012610,006890,014530,011700,024090,005430,009070,009470
1,005490,003490,009830,036460,006120,017800,007310,006280,006360,002620,007340,008060,002240,005090,010690,012030,016800,003920,001520,003570,004380,001250,012610,006890,014530,011700,024090,005430,009070,009470
2,009830,036460,006120,007310,006280,008060,010690,012030,016800,003920,001520,003570,004380,001250,006890,014530,011700,024090,009070,009470,000100,026960,006040,001740,001630,017960,007570,005390,017040,004060
3,009830,006120,007310,006280,008060,010690,016800,003920,001520,003570,004380,001250,006890,014530,009070,000100,026960,001740,001630,017040,004060,011790,006740,017800,018670,011760,000860,005720,012610,003720
4,006120,007310,006280,010690,016800,003920,001520,003570,001250,006890,009070,000100,001740,017040,011790,006740,017800,005720,012610,003720,036460,001040,006040,016380,005090,001530,007810,020120,011700,005430
5,006120,007310,006280,010690,016800,003920,001520,001250,006890,009070,000100,001740,017040,017800,012610,003720,001040,005090,001530,007810,011700,005490,003550,018670,001630,001390,016580,003160,033920,009470
6,007310,006280,010690,016800,003920,001520,001250,009070,000100,017040,017800,012610,005090,011700,005490,003550,018670,001390,016580,003160,033920,009470,021240,002790,016380,001820,029530,010580,002390,010100
7,007310,010690,016800,003920,001520,001250,009070,000100,017040,005090,011700,005490,003550,018670,003160,033920,009470,021240,002790,001820,029530,010580,010100,001630,007340,004150,007810,002310,011760,014530
8,007310,010690,016800,009070,017040,005490,003550,018670,003160,033920,009470,002790,001820,029530,010580,007340,007810,002310,011760,014530,006400,018880,001120,003030,006650,003280,003570,020120,011280,003720
9,010690,009070,017040,005490,003550,018670,003160,033920,009470,001820,029530,010580,007340,007810,011760,018880,006650,003280,020120,003720,036460,001680,005090,017390,005720,012170,002390,007210,002700,016880
10,017040,005490,003550,018670,009470,010580,007340,011760,018880,006650,003280,020120,036460,005090,012170,002390,007210,016880,006400,011790,004370,029460,001470,001390,003920,001520,002310,016580,004840,011280
11,017040,005490,003550,010580,007340,011760,006650,003280,020120,036460,005090,012170,002390,007210,004370,001390,003920,001520,002310,016580,004840,000210,001040,006280,002350,004150,024720,007810,017390,004360
12,017040,010580,011760,006650,003280,020120,005090,012170,007210,004370,003920,001520,004840,000210,001040,002350,024720,017390,004360,006400,012330,018880,012750,001740,003090,001340,033530,011280,000390,000300
13,010580,011760,006650,003280,020120,004370,001520,004840,000210,001040,002350,024720,004360,006400,012330,018880,012750,001740,000390,005490,035720,003550,010950,002790,006040,006280,003030,001820,007810,002310
14,010580,011760,006650,020120,001520,000210,002350,024720,004360,006400,012330,018880,012750,001740,000390,005490,010950,002790,006040,006280,003030,007810,002310,019170,001390,025540,017390,003070,002700,002600
15,010580,011760,006650,020120,001520,000210,024720,004360,006400,012330,018880,001740,005490,006040,003030,007810,019170,001390,025540,017390,002600,035720,003550,011200,021240,007340,012170,003160,010820,007210
16,010580,011760,006650,020120,024720,004360,006400,018880,005490,003030,025540,017390,002600,003550,021240,007340,003160,010820,007210,010950,012750,002710,006280,029460,003920,029530,002390,002700,024090,018500
17,010580,011760,006650,020120,024720,006400,005490,017390,003550,021240,007340,010820,007210,012750,029530,002390,002700,024090,018500,003410,004370,002380,005610,019170,025620,000490,015360,011280,000500,000040
18,011760,006650,024720,017390,010820,007210,012750,002700,024090,018500,003410,002380,005610,019170,025620,015360,011280,000040,033780,001740,004800,002350,007460,001680,003070,009580,002100,015230,035150,005680
19,006650,024720,017390,003410,005610,019170,015360,011280,000040,033780,001740,007460,001680,002100,005680,018880,004020,004990,002710,007690,025860,000430,007570,016580,010580,015890,004250,004720,004080,017550
20,006650,005610,019170,015360,000040,033780,001740,007460,002100,005680,018880,002710,007690,025860,000430,010580,015890,004250,004080,017550,006400,003550,010130,004690,005950,004430,009580,024900,010820,009190
21,006650,005610,000040,001740,002100,005680,018880,002710,007690,000430,010580,004080,005950,004430,009580,024900,010820,009190,004020,006280,001230,007340,024720,007570,001360,011280,004720,001080,010100,004140
22,006650,005610,000040,001740,002100,005680,018880,002710,004080,005950,004430,009580,009190,001230,007340,024720,001360,004140,033780,004170,019170,007460,001680,003000,029530,013570,004360,020120,002700,024090
23,005610,001740,002100,004430,001230,024720,004140,033780,019170,001680,003000,029530,013570,020120,002380,001440,003230,018670,004490,001390,002030,007690,025620,017390,016580,005390,024900,010820,009180,023810
24,001740,002100,004430,004140,033780,019170,001680,003000,013570,020120,003230,018670,004490,001390,002030,007690,025620,016580,024900,009180,023810,035720,003410,002710,000070,007460,007810,011690,005430,004090
25,001740,002100,004430,004140,033780,019170,001680,013570,020120,003230,004490,002030,007690,025620,016580,024900,009180,003410,002710,000070,011690,004090,001570,017800,002380,004000,025860,017390,002780,001080
26,001740,004430,001680,013570,003230,002030,007690,025620,016580,024900,009180,003410,002710,011690,004090,025860,002780,001080,009540,011780,006110,005610,001230,007460,005950,016800,003570,015890,004080,005430
27,001740,004430,001680,013570,003230,007690,025620,016580,024900,009180,003410,011690,025860,001080,006110,005610,001230,007460,003570,015890,004080,005430,011170,012630,024720,001340,004250,015230,000300,004140
28,004430,013570,007690,025620,016580,009180,006110,005610,001230,007460,003570,015890,004080,005430,011170,024720,004250,015230,000300,011780,006120,001440,018670,004490,001390,005950,016800,020120,011280,014530
29,004430,013570,007690,009180,005610,001230,003570,011170,004250,015230,000300,004490,001390,003410,012630,011810,000070,004710,001780,025860,029530,004360,001130,024900,001080,008700,004090,004920,000520,007120
30,013570,007690,009180,001230,003570,011170,004250,004490,001390,012630,011810,000070,004710,001780,001130,001080,008700,004090,001570,001630,007460,002030,016800,015890,002020,012170,002780,035000,002600,002450
31,013570,007690,009180,001230,003570,001390,012630,011810,000070,004710,001130,001080,008700,004090,007460,002030,012170,035000,003490,009830,000240,004170,000150,002840,033180,020000,004430,004360,014530,024090
32,007690,009180,003570,001390,001080,008700,004090,007460,002030,012170,035000,004170,014530,024090,011170,014680,006110,003300,002620,025540,003280,016800,001520,015890,020120,033530,007210,002780,008970,023810
33,007690,003570,001390,008700,004090,007460,002030,012170,014530,014680,003300,002620,015890,020120,033530,002780,008970,012630,012750,001040,003230,019170,033180,004710,004430,025860,006840,000020,004360,015230
34,007690,003570,002030,012170,014530,003300,002620,015890,020120,033530,002780,012630,001040,003230,004710,004430,025860,006840,000020,015230,001570,006110,000070,003030,001820,012320,003200,005720,035000,000300
35,007690,003570,014530,002620,015890,033530,012630,004710,025860,000020,000070,001820,003200,000300,012750,006280,001120,001230,001430,002840,007460,006650,033180,005740,009160,010580,004980,009190,004090,002450
36,007690,003570,014530,002620,015890,012630,025860,001820,003200,000300,012750,001120,001230,001430,002840,007460,006650,005740,010580,004980,005610,018670,001520,011760,012320,012170,007210,011280,035000,024090
37,007690,003570,014530,002620,015890,012630,025860,001820,003200,012750,001120,001230,001430,002840,007460,006650,005740,010580,011760,012320,012170,007210,011280,035000,006400,006040,009160,004250,009190,009070
38,007690,003570,014530,002620,015890,001820,012750,001120,001430,002840,007460,006650,005740,010580,012320,012170,007210,011280,035000,006040,009160,004250,009190,009070,003240,007540,005720,000040,017040,002600
39,007690,014530,015890,001820,012750,001120,002840,007460,006650,005740,010580,012320,007210,011280,035000,006040,009160,009190,009070,002600,011200,014680,007310,011760,015360,004980,002170,002700,006370,004830
40,014530,015890,001820,012750,001120,002840,006650,005740,010580,012320,007210,035000,006040,009160,014680,015360,004980,004830,030200,000100,008770,004170,006280,003300,002620,001060,001430,002030,020120,033530
41,014530,015890,001820,012750,006650,005740,010580,012320,035000,006040,009160,014680,004980,008770,004170,006280,033530,029460,007690,003570,000020,002810,016590,003200,002100,024900,002390,002170,009190,023810
42,014530,015890,001820,012750,035000,009160,014680,008770,004170,006280,033530,029460,003570,002100,024900,002170,005610,001230,002620,025860,000430,001520,025000,007210,014790,011690,002700,009070,004090,000300
43,014530,015890,012750,035000,009160,014680,004170,033530,003570,002170,005610,001230,025860,000430,001520,025000,014790,011690,005930,012630,001060,006650,007690,025620,005010,000020,015360,003200,010100,000520
44,015890,012750,035000,009160,014680,004170,033530,003570,002170,005610,000430,025000,014790,011690,001060,006650,007690,025620,010100,000520,011200,006280,007340,002840,011930,003220,010580,024900,009190,002700
45,015890,012750,035000,009160,014680,004170,002170,005610,014790,001060,010100,000520,011200,006280,007340,002840,011930,010580,024900,009190,002700,005490,006400,018670,003300,002240,017940,012320,003200,000300
46,015890,012750,035000,014680,004170,002170,014790,000520,006280,007340,011930,010580,024900,002700,005490,018670,003300,002240,017940,000300,000120,000230,000430,029530,003570,002810,007210,011280,000390,007120
47,015890,035000,004170,000520,006280,007340,010580,017940,000300,000230,000430,029530,007210,000390,006400,011200,000720,007700,006040,005610,000670,009450,001530,005950,017390,007570,004250,004560,009190,002460
48,004170,000520,006280,007340,010580,017940,000430,029530,011200,006040,005610,005950,017390,007570,004250,004560,010130,000100,000120,001060,005390,013570,002020,016590,001130,002170,010100,009270,002700,006370
49,004170,017940,000430,011200,005610,005950,007570,001060,005390,016590,010100,002700,006400,035720,000720,007700,014680,029460,002240,011930,007690,002990,002390,011280,001080,000390,011690,033920,035000,000300
50,004170,005610,007570,005390,016590,010100,002700,006400,035720,000720,014680,002240,002390,001080,000390,011690,000300,005380,003490,000100,001440,006280,000230,025860,001520,029530,010580,004560,002170,024090
51,004170,005610,007570,005390,016590,002700,006400,035720,000720,014680,001080,000390,011690,000300,001440,000230,001520,004560,024090,007700,001390,001530,004150,002990,003570,002020,011280,033920,017900,018500
52,004170,005610,007570,002700,006400,001080,011690,000300,001440,000230,024090,007700,002990,003570,015760,010130,006120,004710,005950,000430,017390,029530,000490,005720,004250,007210,014790,002170,000500,000040
53,004170,005610,002700,006400,000300,001440,000230,007700,002990,015760,004710,005950,017390,029530,005720,007210,014790,000040,035720,011200,002790,007340,011930,025860,002020,001250,005680,011280,009470,004140
54,004170,005610,006400,000300,000230,007700,015760,004710,005950,029530,005720,000040,035720,011200,002790,007340,002020,001250,005680,009470,004140,006120,009450,033180,024720,007570,005390,004560,011690,009270
55,005610,000300,000230,007700,015760,005950,029530,005720,000040,035720,007340,001250,006120,009450,007570,003490,000100,000720,019170,001390,011930,001530,007690,025860,017390,010820,014790,011280,000500,002700
56,005610,000300,000230,015760,029530,005720,035720,007340,006120,007570,003490,000100,000720,019170,001390,010820,011280,000500,006400,002790,004170,004000,008060,003000,005010,004560,000390,010040,009470,018500
57,005610,000300,015760,005720,035720,007340,006120,007570,003490,000100,019170,001390,010820,011280,000500,004170,005010,004560,000390,018500,010130,002380,001440,003850,033180,004710,007690,002320,005390,011690
58,005610,015760,005720,035720,006120,007570,001390,004170,002380,001440,004710,007690,005390,011690,006400,002790,007310,003620,001230,003090,034120,010600,012320,010580,009580,033530,005680,014790,009180,024090
59,005610,015760,001390,001440,004710,007690,011690,007310,003620,001230,010580,009580,033530,005680,009180,024090,021240,007340,002350,033180,020000,024720,025860,003570,009680,000490,009810,033920,000040,017550
60,005610,015760,001390,001440,007690,011690,003620,001230,033530,005680,009180,024090,021240,007340,024720,003570,009680,000490,009810,006400,006120,018670,007460,029530,006840,009160,015360,011700,009190,002600
61,005610,001440,007690,011690,003620,001230,024090,021240,007340,024720,003570,009680,006120,018670,007460,029530,009160,011700,012630,007700,002790,004000,007310,002350,025860,007570,009580,007210,004720,005430
62,007690,011690,003620,001230,021240,007340,024720,003570,009680,006120,009160,011700,012630,007700,002790,004000,007570,009580,007210,005430,003490,019170,002990,001340,012320,009810,014790,000390,009180,008870
63,007690,011690,021240,007340,003570,009680,006120,011700,012630,002790,007570,007210,005430,003490,008870,006400,011790,005610,018670,003850,008060,025620,025860,029530,005010,033530,005680,004720,000500,004090
64,007690,011690,007340,009680,002790,007570,007210,005430,008870,006400,005610,003850,008060,025860,029530,005010,033530,004090,035720,000100,003620,001390,026890,012320,005720,014790,011280,009180,013580,017040
65,007690,011690,007340,009680,008870,006400,005610,003850,008060,025860,005010,033530,000100,026890,014790,011280,009180,013580,021240,011790,001230,002350,003030,007460,005440,004380,009810,001380,000390,009190
66,007690,011690,007340,009680,008870,006400,005610,008060,025860,005010,033530,014790,011280,013580,021240,001230,002350,003030,009190,018670,034120,001820,002990,001340,029530,006840,010580,007210,033920,024090
67,007690,011690,007340,009680,008870,006400,005610,008060,033530,021240,001230,003030,009190,018670,001820,029530,006840,010580,007210,033920,030200,018880,001740,007570,015360,009810,003160,009180,004540,002600
68,007690,007340,009680,008870,005610,033530,021240,001230,009190,018670,001820,010580,033920,018880,001740,009810,009180,002600,010950,001040,006040,006280,005300,000680,003920,002310,004360,001250,011700,009070
