,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,006400,009150,011200,004990,030000,000150,006040,018670,007340,006650,001680,026890,004710,004690,002990,003060,001520,007570,010600,004360
1,006400,009150,011200,004990,030000,000150,006040,018670,007340,006650,001680,026890,004710,004690,002990,003060,001520,007570,010600,004360
2,004990,030000,000150,018670,007340,006650,001680,026890,004690,003060,001520,010600,004360,011780,004370,000670,005880,011000,002320,004380
3,004990,030000,000150,018670,007340,001680,004690,003060,001520,010600,011000,004380,006400,014680,004170,005850,033240,004710,002990,003960
4,004990,030000,000150,018670,007340,001680,004690,001520,010600,004380,006400,014680,011780,004370,003030,006650,025620,003920,002320,007570
5,030000,000150,018670,007340,001680,004690,001520,010600,004380,011780,025620,003920,002320,000210,004170,000120,001060,002990,003960,002900
6,030000,000150,007340,001680,004690,001520,010600,004380,011780,003920,002320,004170,000120,001060,000660,011170,006260,003030,008060,033240
7,030000,000150,007340,001680,004690,001520,010600,004380,011780,003920,002320,011170,003030,033240,000880,005850,000480,003240,000020,003960
8,007340,001680,001520,010600,004380,011780,003920,011170,003030,033240,000480,003960,010140,004020,000210,000120,033180,025620,012030,012320
9,001520,010600,011780,003920,011170,003030,033240,000480,003960,010140,004020,000210,033180,025620,012030,006260,008060,024720,025860,000020
10,001520,011780,003920,011170,003030,033240,000480,010140,004020,000210,033180,012030,008060,025860,000020,000660,000880,001230,003300,004150
11,001520,011780,011170,003030,033240,000480,010140,004020,000210,033180,012030,008060,000020,000660,000880,001230,001570,007340,000230,004380
12,001520,011780,011170,003030,033240,000480,010140,004020,000210,033180,000880,007340,000230,012330,006260,010120,003300,004150,025860,007570
13,001520,011170,003030,033240,000480,010140,004020,000210,033180,000880,000230,012330,010120,004150,000660,005490,004800,008060,025620,012030
14,001520,011170,003030,033240,000480,010140,004020,000210,033180,000880,000230,010120,000660,025620,012030,017670,018880,001120,003300,003280
15,001520,011170,003030,033240,000480,010140,004020,000210,033180,000880,010120,025620,012030,001120,000990,001040,004800,004150,025860,012320
16,001520,011170,033240,000480,010140,004020,033180,000880,010120,025620,012030,001120,001040,004800,004150,025860,000660,012330,001570,008060
17,033240,004020,033180,000880,010120,012030,001120,001040,004800,000660,017670,018880,003410,000990,003090,000230,003280,000430,009160,013570
18,004020,000880,010120,012030,001120,004800,018880,003410,000990,003090,003280,000430,013570,035720,009830,004000,003030,034120,004150,017810
19,004020,010120,001120,018880,003410,000990,003090,013570,009830,004000,034120,017810,010140,001040,033180,001780,003580,025620,009160,012320
20,010120,001120,018880,003410,000990,003090,013570,004000,034120,017810,010140,001040,033180,009160,012320,005300,008730,009450,000430,016580
21,010120,001120,003410,000990,003090,013570,004000,034120,017810,010140,001040,009160,012320,008730,000430,016580,004170,000880,003030,003280
22,010120,001120,003410,000990,003090,013570,004000,034120,017810,010140,001040,008730,000430,016580,011170,009830,012750,003240,005740,025860
23,003410,000990,003090,013570,004000,010140,001040,008730,000430,009830,003240,005740,025860,007700,036460,026960,003850,003920,005010,012320
24,003410,000990,003090,013570,004000,010140,001040,009830,003240,005740,025860,005010,012320,000880,002350,034120,004430,017810,016580,000490
25,003410,000990,003090,004000,001040,009830,005740,025860,034120,004430,000490,010130,012750,006120,026960,003850,000070,008730,002030,000430
26,000990,004000,001040,009830,005740,025860,034120,000490,006120,026960,000070,008730,010140,005300,018670,029460,003240,001680,003920,005010
27,000990,001040,009830,005740,000490,006120,026960,000070,008730,010140,005300,029460,003240,001680,005010,010130,012750,003850,004430,017810
28,001040,000490,006120,026960,000070,008730,029460,003240,001680,005010,010130,003410,000150,004000,007860,001390,034120,003280,024720,002810
29,001040,000490,006120,026960,000070,003240,001680,010130,007860,001390,024720,002810,009540,009830,000240,003850,001430,005740,020000,017940
30,001040,006120,026960,000070,001680,010130,007860,001390,002810,009830,000240,003850,001430,005740,020000,000150,016380,005300,005090,005010
31,006120,026960,000070,001680,010130,007860,009830,000240,003850,005740,005300,005090,005010,009540,006040,000480,008730,009450,003580,004430
32,006120,026960,001680,010130,000240,005300,005090,006040,000480,009450,003580,010120,003620,010780,001430,001390,017960,024720,012030,000490
33,006120,001680,010130,000240,005300,005090,006040,009450,010120,003620,010780,001430,001390,012030,009830,000210,000070,020000,001780,004360
34,001680,010130,005300,005090,006040,009450,010120,003620,010780,001430,001390,009830,000070,001780,004360,017800,007860,010690,003580,012320
35,001680,010130,005300,005090,006040,009450,010120,010780,001390,004360,017800,010690,012320,000240,006110,005610,012030,011000,000490,002810
36,001680,010130,005300,005090,006040,009450,010120,010780,004360,017800,010690,012320,005610,026960,001430,000070,033240,002030,003580,017940
37,001680,005300,005090,006040,009450,010120,010780,004360,017800,005610,026960,001430,033240,002030,001800,002840,025540,001780,012030,010600
38,001680,005300,005090,010120,010780,004360,017800,005610,002030,025540,012030,010600,010130,003620,006280,001120,004490,004710,011000,012320
39,005090,010120,010780,004360,017800,005610,002030,025540,012030,010600,010130,006280,001120,004490,012320,000100,033240,033180,034120,003570
40,005090,010120,010780,005610,002030,025540,012030,010600,006280,004490,000100,033180,034120,003570,009150,026960,005850,001680,004710,001460
41,010120,010780,005610,002030,025540,006280,004490,000100,033180,003570,026960,005850,001680,004710,010130,007700,017800,011000,012320,013570
42,010120,010780,005610,025540,006280,004490,000100,033180,003570,026960,005850,001680,004710,007700,017800,013570,034120,004430,012030,010600
43,010120,010780,004490,000100,033180,003570,026960,005850,001680,004710,007700,013570,034120,005930,004000,005420,001120,002320,001460,013520
44,010120,004490,033180,003570,026960,005850,001680,004710,007700,013570,002320,001460,013520,009540,004170,006280,002350,007460,025540,010600
45,010120,004490,033180,003570,005850,001680,004710,007700,013570,002320,013520,009540,006280,002350,025540,004000,034120,000680,012030,016590
46,010120,004490,033180,003570,005850,001680,004710,007700,013570,002320,013520,002350,004000,012030,016590,010780,005090,004430,011760,001460
47,010120,033180,003570,005850,004710,007700,013570,002320,013520,002350,004000,012030,001460,009540,000100,005420,029460,005880,025540,000680
48,033180,003570,005850,004710,007700,013570,002320,013520,002350,004000,012030,009540,029460,005880,000680,004990,007460,005740,001780,025860
49,003570,005850,004710,007700,013570,002320,002350,004000,009540,029460,005880,000680,004990,025860,000720,010120,009450,003240,003920,011760
50,003570,005850,004710,007700,013570,002320,002350,004000,009540,005880,000680,004990,010120,009450,003240,011760,006400,005090,002900,015360
51,005850,004710,002320,002350,009540,005880,000680,004990,011760,006400,002900,015360,000270,000720,012750,009420,011810,029460,001780,007540
52,004710,005880,000680,004990,002900,015360,000270,000720,009420,029460,001780,007540,009450,003240,017960,005740,020000,000430,003920,009160
53,005880,004990,002900,015360,009420,029460,001780,007540,009450,017960,020000,003920,009160,006400,036460,012750,011810,001340,008350,003960
54,005880,004990,002900,015360,009420,029460,001780,007540,012750,003960,000270,003550,000720,011790,007700,005420,007860,003000,008490,000430
55,005880,004990,002900,015360,009420,029460,007540,003960,000270,003550,000720,005420,003000,000430,014680,017800,003300,033180,002310,001790
56,005880,004990,002900,015360,007540,003960,000270,003550,000720,000430,014680,003300,001790,006260,036460,012750,003240,017960,020000,001520
57,005880,002900,015360,007540,003960,000270,003550,000720,000430,003300,006260,036460,012750,017960,001520,033780,014820,007860,004150,003280
58,005880,003960,003550,003300,006260,036460,012750,007860,005490,011170,006740,014680,005420,000670,001680,007690,001820,012030,001790,004360
59,005880,003550,003300,006260,036460,012750,011170,006740,005420,000670,001680,007690,001820,001790,004360,000720,001230,005180,007810,000430
60,003550,003300,006260,036460,012750,011170,005420,000670,001680,007690,000720,001230,005180,007810,010130,026960,000070,001390,011930,012030
61,003550,006260,036460,012750,011170,005420,000670,001680,007690,000720,005180,010130,026960,001390,012030,005880,001820,000430,003920,004360
62,003550,006260,011170,005420,000670,001680,007690,000720,005180,010130,026960,001390,012030,005880,001820,004360,004000,000070,011930,001790
63,006260,011170,005420,000670,001680,005180,010130,001390,012030,005880,001820,004360,004000,000070,001790,030000,001230,007810,003920,012320
64,006260,011170,000670,001680,005180,001390,012030,005880,001820,004360,000070,001230,003920,000240,012750,026960,009450,005090,010690,000430
65,011170,000670,005180,001390,012030,001820,004360,000070,001230,003920,012750,026960,009450,005090,010130,003410,004000,016580,002900,012320
66,011170,005180,001390,004360,012750,026960,010130,004000,016580,002900,010140,004170,000880,005420,004800,018670,002840,008060,005880,025620
67,011170,005180,001390,004360,012750,026960,004000,016580,002900,004170,000880,002840,008060,005880,025620,005930,004990,005090,001820,012030
68,011170,005180,001390,004360,012750,004000,016580,002900,004170,000880,002840,008060,005880,025620,005930,012030,010780,023590,009450,007570
69,011170,005180,001390,004360,016580,002900,004170,000880,008060,005880,025620,005930,012030,023590,009450,003410,017800,005950,017810,012320
70,004360,016580,002900,004170,008060,025620,005930,023590,009450,003410,005950,017810,012320,001800,004990,001440,002840,026890,004150,007570
71,004360,016580,002900,004170,008060,025620,005930,023590,009450,003410,005950,017810,001800,002840,026890,004150,017800,010780,033240,001820
72,004360,016580,004170,008060,025620,005930,023590,009450,003410,005950,017810,001800,002840,026890,004150,017800,010780,000100,012750,029460
73,004360,016580,025620,023590,009450,003410,005950,017810,001800,002840,004150,017800,012750,029460,011780,003030,033240,004430,001820,002900
74,004360,016580,025620,023590,005950,017810,001800,002840,004150,017800,012750,029460,003030,004430,004170,007460,008060,003920,003960,004380
75,004360,016580,005950,017810,001800,004150,017800,012750,003030,004430,003550,028050,009830,000720,011780,036460,026890,002030,001820,002810
76,004360,016580,005950,017810,001800,004150,012750,004430,009830,000720,036460,026890,002030,001820,002810,009420,029460,033240,004690,003960
77,016580,005950,001800,004150,012750,004430,009830,000720,026890,002030,009420,029460,033240,003960,003550,011780,012510,007860,007690,003920
78,016580,005950,001800,012750,004430,009830,000720,002030,009420,029460,003960,003550,007860,007690,000100,012450,036460,003060,002810,004360
79,005950,001800,012750,004430,009830,000720,009420,029460,007690,000100,036460,021240,008930,004000,003030,001470,011930,001780,025620,000860
80,005950,001800,012750,009830,000720,009420,029460,007690,021240,008930,004000,001780,000860,012450,004370,016380,002620,003060,001520,004700
81,005950,009830,000720,009420,029460,007690,008930,004000,001780,000860,012450,004370,016380,002620,001520,028050,006120,011930,002030,013520
