,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,009150,011200,000720,011780,000210,030000,006040,005850,018670,007340,006650,001680,026890,005880,004690,002990,003060,001520,007570,010600
1,009150,011200,000720,011780,000210,030000,006040,005850,018670,007340,006650,001680,026890,005880,004690,002990,003060,001520,007570,010600
2,009150,011780,030000,018670,007340,006650,001680,026890,005880,004690,003060,001520,007570,010600,004990,000990,000670,005180,011000,004360
3,030000,018670,007340,006650,001680,005880,004690,003060,001520,010600,004990,000990,011000,004360,004170,005850,000230,033240,001530,004710
4,030000,018670,007340,006650,005880,004690,001520,010600,004990,000990,004360,004170,000230,004710,006400,011780,004370,002990,007570,004380
5,030000,018670,007340,004690,001520,010600,004360,004170,000230,006400,004370,002990,004380,000210,000150,001060,026890,025620,003920,002900
6,030000,007340,004690,001520,010600,002990,004380,000150,001060,025620,003920,000660,011170,004020,006260,000880,000120,003240,001680,002320
7,030000,007340,004690,001520,010600,000150,025620,003920,011170,006260,000880,000120,003240,001680,002320,004990,003030,033240,003960,012320
8,007340,004690,001520,010600,025620,003920,006260,000120,003240,001680,002320,003030,033240,003960,012320,014680,017800,000480,008060,004380
9,007340,004690,001520,010600,025620,003920,000120,001680,002320,033240,003960,012320,011780,005850,001440,001120,024720,012030,001790,000020
10,007340,003920,002320,033240,003960,011780,005850,001120,024720,012030,000020,028050,004020,014680,000880,001230,003300,000480,003580,025860
11,007340,003920,033240,011780,005850,012030,000020,004020,000880,001230,003580,025860,012330,000210,004170,003030,004490,008060,033180,004380
12,007340,033240,011780,012030,000020,004020,000880,025860,000210,003030,004490,008060,033180,011170,010120,003620,000480,000230,004150,001520
13,033240,011780,004020,025860,000210,003030,033180,011170,010120,000480,000230,004150,001520,005490,010140,018880,001230,003300,024720,007570
14,033240,000210,003030,033180,011170,000480,004150,001520,005490,010140,001230,003300,017670,006260,000880,008060,003280,025620,003960,012320
15,033240,000210,003030,033180,011170,000480,001520,010140,003300,006260,000880,008060,025620,012320,000660,012330,004020,000990,000230,025860
16,033240,000210,033180,011170,000480,001520,006260,000880,008060,025620,012320,000660,012330,004020,025860,001570,010120,001040,004800,012030
17,033240,033180,011170,000480,000880,000660,012330,004020,010120,004800,012030,001120,000230,003240,003280,000430,001340,003060,000020,002020
18,000880,004020,010120,004800,012030,000230,003280,001340,003060,002020,035720,009830,003410,005850,007460,005090,034120,004150,025860,006840
19,004020,010120,003280,003060,009830,003410,007460,034120,010140,028050,018880,004000,001120,009450,001390,004710,001780,025620,017810,009160
20,010120,003280,003410,007460,010140,028050,018880,004000,001120,009450,017810,009160,000990,001040,003090,008730,033180,004150,000430,013570
21,010120,003410,007460,028050,018880,004000,001120,017810,009160,000990,001040,003090,008730,000430,005930,004170,026960,003580,002320,002810
22,010120,018880,001120,017810,009160,000990,001040,005930,004170,002810,011170,010140,000880,005420,003240,033180,024720,016580,012320,013570
23,010120,001120,017810,000990,002810,011170,003240,024720,012320,013570,009540,003410,036460,003850,003090,008730,002350,003030,005740,000430
24,001120,000990,024720,012320,013570,009540,003410,003850,003090,002350,003030,005740,009830,001040,006120,000880,004000,003280,025860,016580
